# doubletapd trace v1
# travel_mm=3.5000
us,k1_mm,k2_mm
4926814,3.5000,0.9511
4927810,3.5000,1.0127
4928806,3.5000,1.0640
4929810,3.5000,1.1461
4930813,3.5000,1.1769
4931808,3.5000,1.2385
4932806,3.5000,1.3104
4933809,3.5000,1.3480
4934806,3.5000,1.4096
4935808,3.5000,1.4746
4936813,3.5000,1.5533
4937813,3.5000,1.6251
4938806,3.5000,1.6970
4939809,3.5000,1.7586
4940813,3.5000,1.8441
4941809,3.5000,1.9296
4942812,3.5000,2.0220
4943807,3.5000,2.1144
4944806,3.5000,2.2204
4945808,3.5000,2.3402
4946806,3.5000,2.4599
4947810,3.5000,2.5660
4948812,3.5000,2.7028
4949808,3.5000,2.8568
4950812,3.5000,2.9629
4951810,3.5000,3.1305
4952811,3.5000,3.3084
4953807,3.5000,3.4932
4954811,3.5000,3.5000
5015815,3.4966,3.5000
5016821,3.4829,3.5000
5017807,3.4521,3.5000
5018805,3.4179,3.5000
5019851,3.3631,3.5000
5020812,3.3050,3.5000
5021807,3.2400,3.5000
5022811,3.1818,3.5000
5023807,3.1168,3.5000
5024804,3.0381,3.5000
5025808,2.9492,3.5000
5026805,2.8636,3.5000
5027808,2.7644,3.5000
5028811,2.7028,3.5000
5029808,2.6002,3.5000
5030811,2.4976,3.5000
5031808,2.3949,3.5000
5032805,2.3196,3.5000
5033808,2.1999,3.5000
5034805,2.0904,3.5000
5035807,1.9775,3.5000
5036805,1.8817,3.5000
5037808,1.7928,3.5000
5038811,1.6833,3.5000
5039808,1.5772,3.5000
5040805,1.4746,3.5000
5041811,1.3651,3.5000
5042805,1.2796,3.5000
5043808,1.1872,3.5000
5044805,1.0914,3.5000
5045807,0.9888,3.5000
5046812,0.8895,3.5000
5047808,0.7835,3.5000
5048811,0.6911,3.5000
5049812,0.6193,3.5000
5050805,0.4961,3.5000
5051807,0.4379,3.5000
5052805,0.3490,3.5000
5053810,0.2634,3.5000
5054811,0.1540,3.5000
5055808,0.0890,3.5000
5056805,0.0547,3.5000
5057810,0.0000,3.5000
5058812,0.0000,3.5000
5205822,0.0342,3.5000
5206859,0.1026,3.5000
5207815,0.1676,3.5000
5208888,0.2053,3.5000
5209814,0.3045,3.5000
5210853,0.3490,3.5000
5211816,0.3935,3.5000
5212883,0.4379,3.5000
5213814,0.5029,3.5000
5214881,0.5543,3.5000
5215818,0.6227,3.5000
5216855,0.6535,3.5000
5217815,0.7253,3.5000
5218888,0.7972,3.5000
5219814,0.8656,3.5000
5220818,0.9374,3.5000
5221816,1.0127,3.5000
5222820,1.0948,3.5000
5223815,1.1564,3.5000
5224816,1.2043,3.5000
5225815,1.2933,3.5000
